0	-403.97254000000004;-37390.48762000002;506
1	-4015.8461100000004;-7894.875830000002;168
2	-16.336789999999993;1430.88334;9
3	-981.11844;-1295.65379;30
4	-314.68112999999994;1015.7062700000001;18
5	-72.07744;-126.06097;2
6	-1498.606700000001;-8218.988410000002;132
7	-1879.5121900000006;-11642.810550000006;85
8	-153.25577;170.20886;14
9	-1983.0642300000002;-6610.657079999998;129
