0	0.181745108264;-75.2935782085
1	-23.712195584;-45.8834301026
2	-7.97369274424;159.264243474
3	-31.8848117979;-40.9636317621
4	-16.0417457812;56.6565263854
5	-38.2587402016;-66.717148293
6	-9.94654647897;-62.2586396465
7	-18.37746723;-139.027188161
8	-4.81348842069;6.5382795954
9	-14.5234671664;-48.4843802424
